"filename", "language", "JSON", "Ruby", "Markdown", "erb", "JavaScript", "CSS", "YAML", "HTML", "Gemfile", "comment", "blank", "total"
"/home/donut/Projects/project1/Gemfile", "Gemfile", 0, 0, 0, 0, 0, 0, 0, 0, 26, 18, 11, 55
"/home/donut/Projects/project1/README.md", "Markdown", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 12, 25
"/home/donut/Projects/project1/app/assets/config/manifest.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 4
"/home/donut/Projects/project1/app/assets/javascripts/application.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 15
"/home/donut/Projects/project1/app/assets/javascripts/main.js", "JavaScript", 0, 0, 0, 0, 36, 0, 0, 0, 0, 2, 7, 45
"/home/donut/Projects/project1/app/assets/stylesheets/application.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 1, 16
"/home/donut/Projects/project1/app/assets/stylesheets/style.css", "CSS", 0, 0, 0, 0, 0, 520, 0, 0, 0, 18, 108, 646
"/home/donut/Projects/project1/app/controllers/anas_controller.rb", "Ruby", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 10, 46
"/home/donut/Projects/project1/app/controllers/anecdotes_controller.rb", "Ruby", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 11, 69
"/home/donut/Projects/project1/app/controllers/application_controller.rb", "Ruby", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"/home/donut/Projects/project1/app/controllers/comments_controller.rb", "Ruby", 0, 35, 0, 0, 0, 0, 0, 0, 0, 4, 12, 51
"/home/donut/Projects/project1/app/controllers/pages_controller.rb", "Ruby", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
"/home/donut/Projects/project1/app/controllers/session_controller.rb", "Ruby", 0, 18, 0, 0, 0, 0, 0, 0, 0, 6, 3, 27
"/home/donut/Projects/project1/app/controllers/tags_controller.rb", "Ruby", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/home/donut/Projects/project1/app/controllers/users_controller.rb", "Ruby", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 10, 50
"/home/donut/Projects/project1/app/helpers/anas_helper.rb", "Ruby", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/home/donut/Projects/project1/app/helpers/anecdotes_helper.rb", "Ruby", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/home/donut/Projects/project1/app/helpers/application_helper.rb", "Ruby", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/home/donut/Projects/project1/app/helpers/pages_helper.rb", "Ruby", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/home/donut/Projects/project1/app/helpers/tags_helper.rb", "Ruby", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/home/donut/Projects/project1/app/helpers/users_helper.rb", "Ruby", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/home/donut/Projects/project1/app/jobs/application_job.rb", "Ruby", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/home/donut/Projects/project1/app/mailers/application_mailer.rb", "Ruby", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/home/donut/Projects/project1/app/models/ana.rb", "Ruby", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/donut/Projects/project1/app/models/anecdote.rb", "Ruby", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"/home/donut/Projects/project1/app/models/application_record.rb", "Ruby", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/donut/Projects/project1/app/models/comment.rb", "Ruby", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/home/donut/Projects/project1/app/models/tag.rb", "Ruby", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/donut/Projects/project1/app/models/theme.rb", "Ruby", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5
"/home/donut/Projects/project1/app/models/user.rb", "Ruby", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/home/donut/Projects/project1/app/views/anas/edit.html.erb", "erb", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/donut/Projects/project1/app/views/anas/index.html.erb", "erb", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 2, 24
"/home/donut/Projects/project1/app/views/anas/new.html.erb", "erb", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 4, 14
"/home/donut/Projects/project1/app/views/anas/show.html.erb", "erb", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 1, 28
"/home/donut/Projects/project1/app/views/anecdotes/_form.html.erb", "erb", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"/home/donut/Projects/project1/app/views/anecdotes/edit.html.erb", "erb", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/donut/Projects/project1/app/views/anecdotes/index.html.erb", "erb", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 3, 51
"/home/donut/Projects/project1/app/views/anecdotes/new.html.erb", "erb", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"/home/donut/Projects/project1/app/views/anecdotes/show.html.erb", "erb", 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 4, 74
"/home/donut/Projects/project1/app/views/comments/index.html.erb", "erb", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 4, 27
"/home/donut/Projects/project1/app/views/layouts/application.html.erb", "erb", 0, 0, 0, 36, 0, 0, 0, 0, 0, 1, 4, 41
"/home/donut/Projects/project1/app/views/layouts/mailer.html.erb", "erb", 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 2, 14
"/home/donut/Projects/project1/app/views/layouts/mailer.text.erb", "erb", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/home/donut/Projects/project1/app/views/pages/home.html.erb", "erb", 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 11, 121
"/home/donut/Projects/project1/app/views/session/new.html.erb", "erb", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"/home/donut/Projects/project1/app/views/tags/index.html.erb", "erb", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"/home/donut/Projects/project1/app/views/tags/new.html.erb", "erb", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/donut/Projects/project1/app/views/tags/show.html.erb", "erb", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 1, 18
"/home/donut/Projects/project1/app/views/users/edit.html.erb", "erb", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 3, 27
"/home/donut/Projects/project1/app/views/users/index.html.erb", "erb", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"/home/donut/Projects/project1/app/views/users/new.html.erb", "erb", 0, 0, 0, 23, 0, 0, 0, 0, 0, 3, 0, 26
"/home/donut/Projects/project1/app/views/users/show.html.erb", "erb", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"/home/donut/Projects/project1/config.ru", "Ruby", 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3, 6
"/home/donut/Projects/project1/config/application.rb", "Ruby", 0, 16, 0, 0, 0, 0, 0, 0, 0, 12, 6, 34
"/home/donut/Projects/project1/config/boot.rb", "Ruby", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/home/donut/Projects/project1/config/database.yml", "YAML", 0, 0, 0, 0, 0, 0, 15, 0, 0, 61, 10, 86
"/home/donut/Projects/project1/config/environment.rb", "Ruby", 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 2, 6
"/home/donut/Projects/project1/config/environments/development.rb", "Ruby", 0, 23, 0, 0, 0, 0, 0, 0, 0, 20, 16, 59
"/home/donut/Projects/project1/config/environments/production.rb", "Ruby", 0, 21, 0, 0, 0, 0, 0, 0, 0, 42, 24, 87
"/home/donut/Projects/project1/config/environments/test.rb", "Ruby", 0, 15, 0, 0, 0, 0, 0, 0, 0, 18, 11, 44
"/home/donut/Projects/project1/config/initializers/application_controller_renderer.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 9
"/home/donut/Projects/project1/config/initializers/assets.rb", "Ruby", 0, 2, 0, 0, 0, 0, 0, 0, 0, 9, 4, 15
"/home/donut/Projects/project1/config/initializers/backtrace_silencers.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 8
"/home/donut/Projects/project1/config/initializers/content_security_policy.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 6, 26
"/home/donut/Projects/project1/config/initializers/cookies_serializer.rb", "Ruby", 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 2, 6
"/home/donut/Projects/project1/config/initializers/filter_parameter_logging.rb", "Ruby", 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 2, 5
"/home/donut/Projects/project1/config/initializers/inflections.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 3, 17
"/home/donut/Projects/project1/config/initializers/mime_types.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 5
"/home/donut/Projects/project1/config/initializers/wrap_parameters.rb", "Ruby", 0, 3, 0, 0, 0, 0, 0, 0, 0, 8, 4, 15
"/home/donut/Projects/project1/config/locales/en.yml", "YAML", 0, 0, 0, 0, 0, 0, 2, 0, 0, 30, 2, 34
"/home/donut/Projects/project1/config/puma.rb", "Ruby", 0, 6, 0, 0, 0, 0, 0, 0, 0, 25, 7, 38
"/home/donut/Projects/project1/config/routes.rb", "Ruby", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/home/donut/Projects/project1/config/spring.rb", "Ruby", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/home/donut/Projects/project1/db/migrate/20220722053949_create_users.rb", "Ruby", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/home/donut/Projects/project1/db/migrate/20220722054002_create_anecdotes.rb", "Ruby", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/home/donut/Projects/project1/db/migrate/20220722054007_create_anas.rb", "Ruby", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"/home/donut/Projects/project1/db/migrate/20220722054013_create_tags.rb", "Ruby", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/home/donut/Projects/project1/db/migrate/20220722054150_create_anas_tags.rb", "Ruby", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/home/donut/Projects/project1/db/migrate/20220722054203_create_anecdotes_tags.rb", "Ruby", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/home/donut/Projects/project1/db/migrate/20220722060924_add_password_digest_to_users.rb", "Ruby", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/donut/Projects/project1/db/migrate/20220722061041_add_admin_to_users.rb", "Ruby", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/donut/Projects/project1/db/migrate/20220722074215_create_anas_anecdotes.rb", "Ruby", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/home/donut/Projects/project1/db/migrate/20220726020844_create_themes.rb", "Ruby", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/home/donut/Projects/project1/db/migrate/20220726111051_acts_as_votable_migration.rb", "Ruby", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23
"/home/donut/Projects/project1/db/migrate/20220727002753_add_theme_id_to_users.rb", "Ruby", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/home/donut/Projects/project1/db/migrate/20220727050249_create_comments.rb", "Ruby", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/home/donut/Projects/project1/db/migrate/20220727050932_add_comment_id_to_anecdotes.rb", "Ruby", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/donut/Projects/project1/db/migrate/20220727052920_add_user_id_to_comments.rb", "Ruby", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/donut/Projects/project1/db/migrate/20220727091309_remove_parent_id_from_comments.rb", "Ruby", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/donut/Projects/project1/db/schema.rb", "Ruby", 0, 74, 0, 0, 0, 0, 0, 0, 0, 12, 14, 100
"/home/donut/Projects/project1/db/seeds.rb", "Ruby", 0, 130, 0, 0, 0, 0, 0, 0, 0, 10, 38, 178
"/home/donut/Projects/project1/package.json", "JSON", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/donut/Projects/project1/public/404.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 61, 0, 1, 6, 68
"/home/donut/Projects/project1/public/422.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 61, 0, 1, 6, 68
"/home/donut/Projects/project1/public/500.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 60, 0, 1, 6, 67
"Total", "-", 5, 733, 13, 479, 36, 520, 17, 182, 26, 394, 476, 2881